City 1,State 1,City 2,State 2,State 2  W2V,State 2  W2V Sim
Chicago,Illinois,Jacksonville,Florida,Tennessee,0.644951105
Chicago,Illinois,Seattle,Washington,Oregon,0.760513544
Chicago,Illinois,Fresno,California,Nevada,0.596494436
Chicago,Illinois,Mesa,Arizona,Nevada,0.568590164
Chicago,Illinois,Miami,Florida,Ohio,0.643395901
Chicago,Illinois,Oakland,California,Michigan,0.565308928
Chicago,Illinois,Arlington,Texas,Virginia,0.54561007
Chicago,Illinois,Bakersfield,California,Fresno,0.620834589
Houston,Texas,Jacksonville,Florida,Alabama,0.644833565
Houston,Texas,Memphis,Tennessee,Arkansas,0.685780168
Houston,Texas,Seattle,Washington,Oregon,0.626142561
Houston,Texas,Mesa,Arizona,Pecos,0.51240015
Philadelphia,Pennsylvania,Jacksonville,Florida,Alabama,0.569529414
Philadelphia,Pennsylvania,Memphis,Tennessee,Kentucky,0.66205579
Philadelphia,Pennsylvania,Seattle,Washington,Oregon,0.681833148
Philadelphia,Pennsylvania,Nashville,Tennessee,Kentucky,0.61046809
Philadelphia,Pennsylvania,Fresno,California,Nevada,0.572283208
Philadelphia,Pennsylvania,Mesa,Arizona,Wyoming,0.517182589
Philadelphia,Pennsylvania,Miami,Florida,Ohio,0.61286962
Philadelphia,Pennsylvania,Oakland,California,Michigan,0.600254655
Philadelphia,Pennsylvania,Minneapolis,Minnesota,Wisconsin,0.628924012
Philadelphia,Pennsylvania,Arlington,Texas,Virginia,0.493984699
Phoenix,Arizona,Jacksonville,Florida,Alabama,0.647190273
Phoenix,Arizona,Seattle,Washington,Oregon,0.69940877
Phoenix,Arizona,Fresno,California,Oregon,0.62860322
Phoenix,Arizona,Sacramento,California,Fresno,0.68912375
Phoenix,Arizona,Bakersfield,California,Fresno,0.684485793
Phoenix,Arizona,Henderson,Nevada,Jenkins,0.531424403
Dallas,Texas,Jacksonville,Florida,Alabama,0.697398365
Dallas,Texas,Seattle,Washington,Oregon,0.627262473
Dallas,Texas,Henderson,Nevada,Patterson,0.510205626
Jacksonville,Florida,Memphis,Tennessee,Oklahoma,0.527952611
Jacksonville,Florida,Seattle,Washington,Oregon,0.532742739
Jacksonville,Florida,Mesa,Arizona,Colorado,0.489544719
Jacksonville,Florida,Henderson,Nevada,Robinson,0.535695016
Indianapolis,Indiana,Memphis,Tennessee,Arkansas,0.64928484
Indianapolis,Indiana,Seattle,Washington,Oregon,0.687410355
Indianapolis,Indiana,Fresno,California,Oregon,0.62183547
Indianapolis,Indiana,Oakland,California,Michigan,0.594916046
Indianapolis,Indiana,Arlington,Texas,Virginia,0.534919918
Indianapolis,Indiana,Henderson,Nevada,Hodges,0.535034895
Indianapolis,Indiana,Chandler,Arizona,Parker,0.483068675
Austin,Texas,Seattle,Washington,Oregon,0.555941582
Austin,Texas,Fresno,California,Bakersfield,0.599966943
Austin,Texas,Bakersfield,California,Fresno,0.624733925
Austin,Texas,Henderson,Nevada,Robinson,0.497280955
Detroit,Michigan,Seattle,Washington,Oregon,0.750126898
Detroit,Michigan,Fresno,California,Oregon,0.621640205
Detroit,Michigan,Minneapolis,Minnesota,Wisconsin,0.698090971
Detroit,Michigan,Arlington,Texas,Virginia,0.552602172
Detroit,Michigan,Bakersfield,California,Fresno,0.637264967
Detroit,Michigan,Henderson,Nevada,Morgan,0.529366076
Detroit,Michigan,Chandler,Arizona,Reynolds,0.449254364
Memphis,Tennessee,Seattle,Washington,Oregon,0.593453705
Memphis,Tennessee,Arlington,Texas,Virginia,0.555271149
Memphis,Tennessee,Henderson,Nevada,Smith,0.561116755
Memphis,Tennessee,Chandler,Arizona,Wilson,0.522777021
Memphis,Tennessee,Garland,Texas,Cobb,0.489904374
Boston,Massachusetts,Seattle,Washington,Oregon,0.679282069
Boston,Massachusetts,Mesa,Arizona,Nevada,0.565526545
Boston,Massachusetts,Arlington,Texas,Virginia,0.510088682
Boston,Massachusetts,Henderson,Nevada,Smith,0.481416643
Boston,Massachusetts,Laredo,Texas,Raymondville,0.471013635
Boston,Massachusetts,Chandler,Arizona,Gilbert,0.427688956
Boston,Massachusetts,Lubbock,Texas,Abilene,0.591782808
Boston,Massachusetts,Garland,Texas,McKinney,0.48125267
Boston,Massachusetts,Glendale,Arizona,Nevada,0.488518357
Seattle,Washington,Milwaukee,Wisconsin,Madison,0.557394207
Seattle,Washington,Portland,Oregon,Maine,0.493430316
Seattle,Washington,Fresno,California,Sacramento,0.479738206
Seattle,Washington,Sacramento,California,Fresno,0.523284674
Seattle,Washington,Omaha,Nebraska,Lincoln,0.436469674
Seattle,Washington,Oakland,California,Hillsdale,0.438316703
Seattle,Washington,Arlington,Texas,Virginia,0.412782639
Seattle,Washington,Bakersfield,California,Fresno,0.538700461
Seattle,Washington,Lexington,Kentucky,Frankfort,0.48743391
Seattle,Washington,Henderson,Nevada,Morgan,0.535220623
Seattle,Washington,Laredo,Texas,Grayson,0.426258266
Seattle,Washington,Chandler,Arizona,Wilson,0.529831052
Seattle,Washington,Madison,Wisconsin,Jefferson,0.508953691
Seattle,Washington,Lubbock,Texas,Waco,0.550997674
Seattle,Washington,Garland,Texas,Wilson,0.487775743
Seattle,Washington,Glendale,Arizona,Burbank,0.420130372
Denver,Colorado,Fresno,California,Bakersfield,0.63859731
Denver,Colorado,Bakersfield,California,Fresno,0.65016973
Denver,Colorado,Henderson,Nevada,Morgan,0.555714607
Denver,Colorado,Chandler,Arizona,Wilson,0.515719652
Baltimore,Maryland,Fresno,California,Oregon,0.613188982
Baltimore,Maryland,Mesa,Arizona,Colorado,0.53519094
Baltimore,Maryland,Arlington,Texas,Virginia,0.612990975
Baltimore,Maryland,Cincinnati,Ohio,Kentucky,0.671112895
Baltimore,Maryland,Henderson,Nevada,Davidson,0.556148171
Baltimore,Maryland,Chandler,Arizona,Parker,0.462893277
Baltimore,Maryland,Garland,Texas,McKinney,0.532472074
Baltimore,Maryland,Glendale,Arizona,California,0.475953877
Nashville,Tennessee,Fresno,California,Oregon,0.604536533
Nashville,Tennessee,Oakland,California,Michigan,0.514925897
Nashville,Tennessee,Bakersfield,California,Fresno,0.659026623
Nashville,Tennessee,Henderson,Nevada,Smith,0.563342452
Nashville,Tennessee,Chandler,Arizona,Parker,0.502250612
Nashville,Tennessee,Garland,Texas,Blanton,0.511161208
Louisville,Kentucky,Mesa,Arizona,Nevada,0.566595554
Louisville,Kentucky,Arlington,Texas,Virginia,0.572682261
Louisville,Kentucky,Henderson,Nevada,Boyd,0.542885542
Louisville,Kentucky,Chandler,Arizona,Wilson,0.519094467
Louisville,Kentucky,Garland,Texas,Blanton,0.526163399
Milwaukee,Wisconsin,Fresno,California,Oregon,0.656560838
Milwaukee,Wisconsin,Mesa,Arizona,Idaho,0.569668889
Milwaukee,Wisconsin,Oakland,California,Michigan,0.632168293
Milwaukee,Wisconsin,Arlington,Texas,Virginia,0.559082448
Milwaukee,Wisconsin,Henderson,Nevada,McIntosh,0.524076104
Milwaukee,Wisconsin,Chandler,Arizona,Fowler,0.46882242
Milwaukee,Wisconsin,Garland,Texas,McKinney,0.506205082
Portland,Oregon,Henderson,Nevada,Hawkins,0.519660473
Portland,Oregon,Garland,Texas,Blanton,0.539139748
Portland,Oregon,Spokane,Washington,Idaho,0.705257416
Tucson,Arizona,Fresno,California,Oregon,0.616504669
Tucson,Arizona,Oakland,California,Michigan,0.535310388
Tucson,Arizona,Bakersfield,California,Fresno,0.667248726
Tucson,Arizona,Pittsburgh,Pennsylvania,Cincinnati,0.585442305
Tucson,Arizona,Henderson,Nevada,Smith,0.613729596
Tucson,Arizona,Garland,Texas,Weaver,0.540332556
Tucson,Arizona,Spokane,Washington,Oregon,0.695994973
Fresno,California,Atlanta,Georgia,Philadelphia,0.458118558
Fresno,California,Arlington,Texas,Virginia,0.479381084
Fresno,California,Henderson,Nevada,Smith,0.481621742
Fresno,California,Chandler,Arizona,Parker,0.431727201
Fresno,California,Glendale,Arizona,Burbank,0.518819273
Fresno,California,Spokane,Washington,Oregon,0.534746289
Sacramento,California,Henderson,Nevada,Boyd,0.499642134
Sacramento,California,Chandler,Arizona,Wilson,0.4832443
Sacramento,California,Glendale,Arizona,Burbank,0.534730077
Sacramento,California,Spokane,Washington,Idaho,0.623339951
Mesa,Arizona,Oakland,California,Minnesota,0.551299155
Mesa,Arizona,Arlington,Texas,Virginia,0.514117837
Mesa,Arizona,Pittsburgh,Pennsylvania,Philadelphia,0.582053125
Mesa,Arizona,Henderson,Nevada,Robinson,0.533342838
Mesa,Arizona,Garland,Texas,Tennessee,0.494984627
Mesa,Arizona,Spokane,Washington,Oregon,0.65104866
Atlanta,Georgia,Oakland,California,Berkeley,0.508149803
Atlanta,Georgia,Arlington,Texas,Virginia,0.467641354
Atlanta,Georgia,Bakersfield,California,Fresno,0.602476835
Atlanta,Georgia,Henderson,Nevada,Morgan,0.507337511
Atlanta,Georgia,Chandler,Arizona,Wilson,0.456069469
Atlanta,Georgia,Garland,Texas,McKinney,0.4866063
Atlanta,Georgia,Spokane,Washington,Idaho,0.664554
Atlanta,Georgia,Oxnard,California,Ventura,0.560473204
Atlanta,Georgia,Fontana,California,Sonora,0.419628531
Omaha,Nebraska,Oakland,California,Michigan,0.555165052
Omaha,Nebraska,Bakersfield,California,Fresno,0.591029167
Omaha,Nebraska,Henderson,Nevada,Robinson,0.538658321
Omaha,Nebraska,Chandler,Arizona,Parker,0.499824941
Omaha,Nebraska,Spokane,Washington,Idaho,0.689712882
Omaha,Nebraska,Oxnard,California,Ventura,0.560026407
Omaha,Nebraska,Fontana,California,Glendora,0.452073425
Miami,Florida,Cincinnati,Ohio,Kentucky,0.604893684
Miami,Florida,Henderson,Nevada,Boyd,0.550385833
Miami,Florida,Chandler,Arizona,Fowler,0.530480623
Miami,Florida,Spokane,Washington,Idaho,0.699574828
Miami,Florida,Oxnard,California,Bakersfield,0.594931126
Tulsa,Oklahoma,Oakland,California,Michigan,0.51742059
Tulsa,Oklahoma,Bakersfield,California,Fresno,0.672393918
Tulsa,Oklahoma,Henderson,Nevada,Robinson,0.639827788
Tulsa,Oklahoma,Chandler,Arizona,Parker,0.546914458
Tulsa,Oklahoma,Garland,Texas,McKinney,0.516095161
Tulsa,Oklahoma,Spokane,Washington,Oregon,0.669652402
Tulsa,Oklahoma,Oxnard,California,Ventura,0.617145717
Tulsa,Oklahoma,Fontana,California,Glendora,0.483306438
Tulsa,Oklahoma,Glendale,California,Arizona,0.542521894
Oakland,California,Arlington,Texas,Virginia,0.529554248
Oakland,California,Laredo,Texas,Mexico,0.551590443
Oakland,California,Glendale,Arizona,Nevada,0.504377365
Oakland,California,Spokane,Washington,Idaho,0.683119059
Cleveland,Ohio,Arlington,Texas,Virginia,0.528707147
Cleveland,Ohio,Bakersfield,California,Fresno,0.595919371
Cleveland,Ohio,Henderson,Nevada,Boyd,0.492022425
Cleveland,Ohio,Chandler,Arizona,Huffman,0.438951969
Cleveland,Ohio,Spokane,Washington,Idaho,0.684120715
Cleveland,Ohio,Glendale,California,Arizona,0.466256857
Minneapolis,Minnesota,Bakersfield,California,Fresno,0.648661017
Minneapolis,Minnesota,Henderson,Nevada,Weaver,0.560120881
Minneapolis,Minnesota,Chandler,Arizona,Wilson,0.527614832
Minneapolis,Minnesota,Garland,Texas,Weaver,0.556656957
Minneapolis,Minnesota,Spokane,Washington,Idaho,0.708264172
Minneapolis,Minnesota,Oxnard,California,Ventura,0.627799273
Minneapolis,Minnesota,Glendale,California,Arizona,0.610306323
Minneapolis,Minnesota,Worcester,Massachusetts,Northampton,0.61524421
Wichita,Kansas,Arlington,Texas,Virginia,0.533184648
Wichita,Kansas,Henderson,Nevada,Robinson,0.591704071
Wichita,Kansas,Chandler,Arizona,Parker,0.502492905
Wichita,Kansas,Garland,Texas,Blanton,0.507601619
Wichita,Kansas,Spokane,Washington,Idaho,0.690873623
Wichita,Kansas,Glendale,California,Arizona,0.528613031
Arlington,Texas,Bakersfield,California,Fresno,0.594344735
Arlington,Texas,Pittsburgh,Pennsylvania,Cincinnati,0.550120711
Arlington,Texas,Henderson,Nevada,Hodges,0.494259477
Arlington,Texas,Chandler,Arizona,Odom,0.472783148
Arlington,Texas,Spokane,Washington,Idaho,0.649931073
Arlington,Texas,Oxnard,California,Bakersfield,0.586127341
Arlington,Texas,Glendale,California,Arizona,0.581551194
Arlington,Texas,Worcester,Massachusetts,Connecticut,0.466049254
Bakersfield,California,Henderson,Nevada,Wilkinson,0.482845664
Bakersfield,California,Garland,Texas,Blanton,0.441916764
Bakersfield,California,Spokane,Washington,Oregon,0.633723617
Honolulu,Hawaii,Henderson,Nevada,Robinson,0.55779469
Honolulu,Hawaii,Laredo,Texas,Mexico,0.572291911
Honolulu,Hawaii,Chandler,Arizona,Wilson,0.494934559
Honolulu,Hawaii,Garland,Texas,Blanton,0.513290048
Honolulu,Hawaii,Spokane,Washington,Idaho,0.718513012
Honolulu,Hawaii,Glendale,California,Arizona,0.57930088
Honolulu,Hawaii,Worcester,Massachusetts,Northampton,0.622831821
Honolulu,Hawaii,Philadelphia,Pennsylvania,Philly,0.662325978
Pittsburgh,Pennsylvania,Henderson,Nevada,Stillwell,0.482916057
Pittsburgh,Pennsylvania,Laredo,Texas,Harlingen,0.456518561
Pittsburgh,Pennsylvania,Chandler,Arizona,Gardner,0.400039613
Pittsburgh,Pennsylvania,Garland,Texas,Cotten,0.472810239
Pittsburgh,Pennsylvania,Glendale,Arizona,California,0.482282996
Pittsburgh,Pennsylvania,Irving,Texas,Hess,0.384101808
Pittsburgh,Pennsylvania,Spokane,Washington,Idaho,0.616106153
Pittsburgh,Pennsylvania,Worcester,Massachusetts,Northampton,0.626122236
Pittsburgh,Pennsylvania,Phoenix,Arizona,Nevada,0.527772188
Pittsburgh,Pennsylvania,Jacksonville,Florida,Virginia,0.584525824
Lexington,Kentucky,Henderson,Nevada,Robinson,0.54311204
Lexington,Kentucky,Laredo,Texas,Arizona,0.557169676
Lexington,Kentucky,Spokane,Washington,Idaho,0.713882625
Lexington,Kentucky,Glendale,California,Arizona,0.631686509
Lexington,Kentucky,Worcester,Massachusetts,Vermont,0.530783236
Lexington,Kentucky,Dallas,Texas,Houston,0.638150275
Lexington,Kentucky,Jacksonville,Florida,Tennessee,0.667638183
Cincinnati,Ohio,Henderson,Nevada,Griffin,0.514747262
Cincinnati,Ohio,Chandler,Arizona,Parker,0.4832564
Cincinnati,Ohio,Garland,Texas,McKinney,0.50884968
Cincinnati,Ohio,Glendale,Arizona,Riverside,0.444288135
Cincinnati,Ohio,Spokane,Washington,Idaho,0.645493925
Cincinnati,Ohio,Oxnard,California,Ventura,0.566942692
Cincinnati,Ohio,Glendale,California,Riverside,0.444288135
Cincinnati,Ohio,Memphis,Tennessee,Arkansas,0.636818171
Henderson,Nevada,Laredo,Texas,Arizona,0.583331704
Henderson,Nevada,Lubbock,Texas,Idaho,0.560630798
Henderson,Nevada,Garland,Texas,Arizona,0.586334109
Henderson,Nevada,Irving,Texas,Connecticut,0.452198029
Henderson,Nevada,Spokane,Washington,Idaho,0.688973069
Henderson,Nevada,Glendale,California,Arizona,0.608498037
Henderson,Nevada,Houston,Texas,Arizona,0.617164791
Henderson,Nevada,Dallas,Texas,Colorado,0.577773988
Henderson,Nevada,Jacksonville,Florida,Arizona,0.591683805
Henderson,Nevada,Indianapolis,Indiana,Arizona,0.564976156
Henderson,Nevada,Memphis,Tennessee,Arizona,0.605752051
Henderson,Nevada,Seattle,Washington,Oregon,0.612857997
Orlando,Florida,Spokane,Washington,Idaho,0.656844914
Orlando,Florida,Oxnard,California,Ventura,0.600573301
Orlando,Florida,Glendale,California,Arizona,0.576430023
Orlando,Florida,Seattle,Washington,Oregon,0.618500233
Laredo,Texas,Chandler,Arizona,McKinney,0.502853274
Laredo,Texas,Glendale,Arizona,California,0.530780673
Laredo,Texas,Spokane,Washington,Oregon,0.629665852
Laredo,Texas,Philadelphia,Pennsylvania,Philly,0.583476961
Laredo,Texas,Jacksonville,Florida,Alabama,0.627133012
Laredo,Texas,Seattle,Washington,Oregon,0.544250131
Chandler,Arizona,Spokane,Washington,Idaho,0.648842692
Chandler,Arizona,Fontana,California,Nevada,0.524877489
Chandler,Arizona,Glendale,California,Tucson,0.607239544
Chandler,Arizona,Philadelphia,Pennsylvania,Philly,0.601720572
Chandler,Arizona,Seattle,Washington,Oregon,0.598383904
Madison,Wisconsin,Spokane,Washington,Idaho,0.660766602
Madison,Wisconsin,Glendale,California,Arizona,0.605953336
Madison,Wisconsin,Chicago,Illinois,Minnesota,0.65765667
Madison,Wisconsin,Philadelphia,Pennsylvania,Philly,0.608320534
Madison,Wisconsin,Dallas,Texas,Minnesota,0.616714954
Madison,Wisconsin,Seattle,Washington,Minnesota,0.645550847
Madison,Wisconsin,Nashville,Tennessee,Minnesota,0.583294868
Lubbock,Texas,Spokane,Washington,Oregon,0.64642024
Lubbock,Texas,Glendale,California,Arizona,0.56289649
Lubbock,Texas,Philadelphia,Pennsylvania,Philly,0.641467094
Lubbock,Texas,Seattle,Washington,Oregon,0.54201597
Garland,Texas,Spokane,Washington,Idaho,0.607870579
Garland,Texas,Glendale,California,Arizona,0.529667318
Garland,Texas,Philadelphia,Pennsylvania,Philly,0.567477882
Garland,Texas,Memphis,Tennessee,Oklahoma,0.614279509
Garland,Texas,Seattle,Washington,Oregon,0.583069861
Garland,Texas,Fresno,California,Bakersfield,0.615581155
Glendale,Arizona,Spokane,Washington,Oregon,0.688084543
Glendale,Arizona,Shreveport,Louisiana,Arkansas,0.684876561
Glendale,Arizona,Fontana,California,Nevada,0.458077073
Glendale,Arizona,Philadelphia,Pennsylvania,Philly,0.594331264
Glendale,Arizona,Jacksonville,Florida,Alabama,0.619151413
Glendale,Arizona,Memphis,Tennessee,Arkansas,0.68240881
Glendale,Arizona,Seattle,Washington,Oregon,0.624770224
Glendale,Arizona,Fresno,California,Oregon,0.663130999
Glendale,Arizona,Sacramento,California,Oregon,0.622819662
Reno,Nevada,Spokane,Washington,Idaho,0.689390898
Reno,Nevada,Glendale,California,Arizona,0.590471148
Reno,Nevada,Seattle,Washington,Oregon,0.615142882
Irving,Texas,Spokane,Washington,Yakima,0.663132489
Irving,Texas,Glendale,California,Arizona,0.638899922
Irving,Texas,Philadelphia,Pennsylvania,Philly,0.587407351
Irving,Texas,Jacksonville,Florida,Alabama,0.659963846
Irving,Texas,Seattle,Washington,Oregon,0.594057024
Irving,Texas,Fresno,California,Arizona,0.606821895
Irving,Texas,Sacramento,California,Fresno,0.63802731
Irving,Texas,Atlanta,Georgia,Alabama,0.596676588
Spokane,Washington,Oxnard,California,Ventura,0.455433726
Spokane,Washington,Fontana,California,Gibbs,0.352746785
Spokane,Washington,Akron,Ohio,Cleveland,0.573653221
Spokane,Washington,Glendale,California,Burbank,0.422831327
Spokane,Washington,Worcester,Massachusetts,Gloucester,0.566783726
Spokane,Washington,Chicago,Illinois,Emanuel,0.461977184
Spokane,Washington,Houston,Texas,Dallas,0.520296752
Spokane,Washington,Philadelphia,Pennsylvania,Philly,0.543859243
Spokane,Washington,Phoenix,Arizona,Houston,0.42218402
Spokane,Washington,Dallas,Texas,Houston,0.572444856
Spokane,Washington,Jacksonville,Florida,Miami,0.491301537
Spokane,Washington,Detroit,Michigan,Cleveland,0.453776062
Spokane,Washington,Memphis,Tennessee,Atlanta,0.472006947
Spokane,Washington,Boston,Massachusetts,Philadelphia,0.45994556
Spokane,Washington,Denver,Colorado,Philadelphia,0.482933044
Spokane,Washington,Nashville,Tennessee,Atlanta,0.504529238
Spokane,Washington,Louisville,Kentucky,Georgetown,0.568870783
Spokane,Washington,Milwaukee,Wisconsin,Philadelphia,0.474853039
Spokane,Washington,Portland,Oregon,Boston,0.455715477
Spokane,Washington,Fresno,California,Sacramento,0.476085544
Spokane,Washington,Atlanta,Georgia,Philadelphia,0.476293862
Spokane,Washington,Oakland,California,Baltimore,0.452517271
Spokane,Washington,Cleveland,Ohio,Philadelphia,0.483694315
Shreveport,Louisiana,Glendale,California,Arizona,0.541179895
Shreveport,Louisiana,Seattle,Washington,Oregon,0.613351464
Oxnard,California,Jacksonville,Florida,Tennessee,0.633177638
Oxnard,California,Seattle,Washington,Oregon,0.594122827
Oxnard,California,Arlington,Texas,Virginia,0.560356379
Fontana,California,Seattle,Washington,Oregon,0.624441981
Fontana,California,Wichita,Kansas,Oklahoma,0.637998998
Fontana,California,Arlington,Texas,Virginia,0.54527843
Akron,Ohio,Seattle,Washington,Oregon,0.637528777
Glendale,California,Seattle,Washington,Oregon,0.585752308
Glendale,California,Mesa,Arizona,Nevada,0.5444175
Tallahassee,Florida,Philadelphia,Pennsylvania,Philly,0.643004179
Tallahassee,Florida,Seattle,Washington,Minnesota,0.539150178
Tallahassee,Florida,Atlanta,Georgia,Philadelphia,0.552150607
Tallahassee,Florida,Pittsburgh,Pennsylvania,Philadelphia,0.610082209
Worcester,Massachusetts,Seattle,Washington,Oregon,0.580278516
